customer_id,age,gender,location,tenure_months,contract_type,monthly_charges,total_charges,data_usage_gb,call_minutes,support_tickets,internet_service,streaming_tv,streaming_movies,payment_method,churn
CUST_015657,32,Female,Urban,72,Month-to-month,85.81,6236.91,53.3,92.0,4,DSL,Yes,No,Mailed check,1
CUST_006599,60,Female,Urban,1,Two year,22.19,24.76,65.0,267.0,2,Fiber optic,Yes,No,Bank transfer,1
CUST_003941,54,Male,Rural,2,One year,20.47,33.87,58.6,666.0,1,Fiber optic,No,No,Credit card,1
CUST_014774,51,Male,Suburban,72,Month-to-month,73.42,5730.44,35.6,471.0,0,Fiber optic,No,No,Electronic check,1
CUST_009044,36,Male,Urban,24,One year,72.16,1655.66,8.4,1530.0,1,DSL,Yes,No,Bank transfer,1
CUST_095789,54,Female,Urban,37,Month-to-month,53.12,2043.17,20.5,144.0,1,Fiber optic,Yes,No,Credit card,1
CUST_099004,39,Male,Urban,35,One year,70.63,2344.2,64.9,395.0,3,DSL,No,No,Bank transfer,0
CUST_060155,27,Male,Urban,11,One year,61.77,640.92,144.7,923.0,2,DSL,Yes,No,Electronic check,1
CUST_016435,42,Female,Urban,25,One year,34.2,870.26,14.0,106.0,2,No,Yes,No,Bank transfer,1
CUST_099942,43,Female,Suburban,2,One year,93.15,178.34,12.5,374.0,1,DSL,Yes,Yes,Bank transfer,1
CUST_022109,54,Male,Suburban,13,Two year,79.0,1021.62,77.5,298.0,2,DSL,Yes,No,Mailed check,0
CUST_086351,36,Female,Urban,1,One year,24.11,19.56,5.8,18.0,3,DSL,Yes,No,Electronic check,1
CUST_025993,36,Male,Urban,14,Month-to-month,74.21,1167.84,16.2,1116.0,0,DSL,Yes,No,Electronic check,1
CUST_051360,37,Female,Urban,43,One year,68.22,2440.84,9.6,215.0,0,DSL,No,No,Bank transfer,1
CUST_079156,36,Male,Urban,16,Two year,62.12,1138.06,29.0,487.0,3,DSL,Yes,Yes,Electronic check,1
CUST_043407,52,Male,Urban,64,Month-to-month,75.01,4549.04,9.8,609.0,2,Fiber optic,Yes,Yes,Mailed check,1
CUST_020232,31,Male,Urban,29,One year,72.98,2214.83,93.7,172.0,0,DSL,No,No,Credit card,1
CUST_029262,50,Female,Urban,4,Month-to-month,58.62,241.7,55.2,63.0,1,Fiber optic,Yes,Yes,Credit card,1
CUST_034219,57,Female,Urban,40,Month-to-month,87.26,3832.36,43.9,803.0,1,No,No,No,Bank transfer,1
CUST_051473,31,Male,Suburban,60,Month-to-month,88.03,4704.9,3.0,74.0,0,DSL,Yes,Yes,Electronic check,1
CUST_054405,56,Female,Suburban,1,Month-to-month,98.54,115.88,3.4,47.0,3,DSL,No,No,Bank transfer,1
CUST_053347,58,Female,Urban,20,Month-to-month,20.0,476.51,60.0,90.0,0,No,No,Yes,Bank transfer,0
CUST_057792,53,Female,Urban,16,Month-to-month,75.81,1138.55,52.0,892.0,0,Fiber optic,No,No,Mailed check,1
CUST_065516,31,Male,Urban,10,Month-to-month,103.19,1049.08,35.1,585.0,3,Fiber optic,Yes,No,Credit card,1
CUST_000770,48,Female,Urban,11,Two year,24.65,218.0,19.7,142.0,2,Fiber optic,No,No,Credit card,1
CUST_088027,36,Male,Urban,58,Month-to-month,49.88,3112.05,60.3,384.0,2,DSL,Yes,Yes,Mailed check,1
CUST_069917,42,Female,Suburban,66,Month-to-month,103.58,5975.46,8.7,98.0,0,No,No,Yes,Electronic check,1
CUST_071248,29,Male,Urban,8,Two year,101.48,649.98,59.7,69.0,3,Fiber optic,No,No,Electronic check,1
CUST_009782,26,Male,Urban,69,Two year,55.0,3150.67,40.5,221.0,3,Fiber optic,No,No,Electronic check,1
CUST_002065,33,Female,Suburban,3,Two year,72.83,239.17,29.2,47.0,2,No,No,Yes,Bank transfer,1
CUST_058659,49,Male,Suburban,11,One year,27.9,357.97,0.1,182.0,2,DSL,Yes,Yes,Electronic check,1
CUST_074514,41,Female,Urban,10,Two year,65.1,589.79,36.8,212.0,3,Fiber optic,No,No,Mailed check,1
CUST_041238,39,Male,Suburban,10,Two year,91.18,807.03,17.2,778.0,2,Fiber optic,No,Yes,Bank transfer,1
CUST_008520,37,Female,Suburban,9,Month-to-month,41.13,339.41,84.3,139.0,0,Fiber optic,Yes,No,Bank transfer,1
CUST_006748,33,Female,Rural,72,Month-to-month,58.18,4067.91,74.2,69.0,1,DSL,Yes,Yes,Electronic check,1
CUST_022437,39,Female,Urban,6,One year,45.43,264.4,14.6,56.0,3,Fiber optic,Yes,No,Credit card,0
CUST_038408,31,Male,Suburban,20,Two year,32.67,562.02,65.7,1110.0,0,Fiber optic,No,No,Credit card,1
CUST_056384,69,Male,Urban,10,Month-to-month,82.42,783.8,0.5,78.0,1,DSL,No,No,Electronic check,1
CUST_042340,47,Male,Urban,38,Two year,57.37,2225.29,8.0,105.0,3,Fiber optic,No,No,Bank transfer,1
CUST_057292,34,Male,Suburban,5,Month-to-month,83.2,400.98,7.8,200.0,0,DSL,Yes,Yes,Electronic check,1
CUST_021940,45,Female,Urban,13,One year,47.54,617.93,54.0,90.0,3,No,Yes,Yes,Electronic check,1
CUST_016057,48,Female,Rural,9,Month-to-month,23.08,217.34,51.4,677.0,2,DSL,Yes,No,Credit card,0
CUST_076806,41,Male,Suburban,46,Month-to-month,43.32,1643.15,8.8,598.0,3,Fiber optic,Yes,No,Electronic check,0
CUST_036122,64,Female,Suburban,7,Two year,50.82,400.96,3.9,119.0,1,DSL,Yes,No,Bank transfer,1
CUST_051096,51,Female,Rural,30,Month-to-month,75.47,2464.98,79.9,464.0,0,Fiber optic,No,Yes,Mailed check,1
CUST_008049,41,Female,Suburban,4,One year,47.29,222.01,68.0,168.0,3,DSL,No,Yes,Electronic check,1
CUST_083689,39,Female,Urban,55,One year,100.52,4652.63,38.2,250.0,0,DSL,No,Yes,Electronic check,1
CUST_034257,24,Female,Suburban,8,Month-to-month,80.69,598.46,71.7,290.0,1,Fiber optic,Yes,Yes,Credit card,1
CUST_039547,52,Female,Suburban,26,Month-to-month,64.89,1580.93,169.2,350.0,2,DSL,No,Yes,Electronic check,1
CUST_079435,45,Male,Urban,20,Month-to-month,42.11,768.03,13.2,627.0,2,Fiber optic,Yes,Yes,Bank transfer,0
CUST_037784,29,Female,Rural,61,One year,52.06,3445.31,42.4,1325.0,0,DSL,No,Yes,Electronic check,1
CUST_003307,44,Male,Rural,23,Two year,77.91,2001.47,2.1,463.0,4,Fiber optic,No,No,Electronic check,0
CUST_065364,58,Male,Urban,23,Month-to-month,62.35,1292.94,41.3,95.0,4,Fiber optic,Yes,Yes,Bank transfer,1
CUST_074412,36,Female,Suburban,2,Month-to-month,75.11,134.57,117.5,74.0,0,No,No,No,Electronic check,1
CUST_067231,39,Male,Urban,11,Month-to-month,89.38,881.27,20.5,287.0,1,No,No,Yes,Electronic check,1
CUST_048331,18,Female,Urban,69,Month-to-month,104.19,8294.15,98.5,834.0,1,DSL,Yes,Yes,Mailed check,1
CUST_047502,24,Female,Urban,19,Month-to-month,73.54,1258.58,21.5,297.0,2,DSL,Yes,No,Bank transfer,1
CUST_023632,48,Male,Suburban,72,Two year,69.69,5118.69,23.6,281.0,1,DSL,Yes,Yes,Electronic check,1
CUST_023793,29,Male,Urban,7,One year,86.71,594.07,14.4,187.0,1,Fiber optic,No,No,Mailed check,1
CUST_006957,61,Male,Urban,8,Month-to-month,94.21,689.46,107.9,712.0,1,DSL,No,Yes,Electronic check,1
CUST_039096,77,Male,Suburban,34,One year,40.24,1470.48,32.0,266.0,2,Fiber optic,No,No,Bank transfer,0
CUST_009894,38,Female,Rural,23,Month-to-month,72.39,1861.73,352.2,25.0,2,DSL,No,No,Bank transfer,1
CUST_069554,39,Female,Rural,57,Month-to-month,35.67,1977.38,4.2,100.0,1,Fiber optic,Yes,No,Electronic check,1
CUST_032453,38,Female,Suburban,7,Month-to-month,68.5,415.19,57.6,389.0,2,DSL,Yes,No,Mailed check,1
CUST_031905,37,Female,Suburban,5,Month-to-month,26.46,125.68,0.5,328.0,1,DSL,No,No,Electronic check,1
CUST_035902,48,Female,Urban,65,Month-to-month,75.05,5422.1,49.3,79.0,0,Fiber optic,Yes,Yes,Electronic check,1
CUST_031575,61,Male,Urban,30,Month-to-month,122.33,3832.32,68.1,37.0,1,Fiber optic,Yes,Yes,Bank transfer,1
CUST_093766,26,Male,Urban,42,One year,44.45,1601.55,78.1,319.0,0,DSL,Yes,No,Electronic check,0
CUST_025339,66,Male,Urban,17,Two year,46.93,854.08,36.0,217.0,2,Fiber optic,No,No,Credit card,1
CUST_062492,38,Male,Urban,1,Month-to-month,29.18,33.76,16.5,425.0,1,Fiber optic,No,Yes,Bank transfer,1
CUST_066372,46,Male,Urban,1,One year,89.96,103.99,117.1,39.0,1,DSL,No,No,Electronic check,1
CUST_030844,56,Female,Suburban,34,Month-to-month,70.93,2000.15,178.6,108.0,3,DSL,No,No,Mailed check,1
CUST_058749,56,Female,Urban,4,One year,89.78,360.4,149.2,27.0,1,Fiber optic,No,No,Credit card,1
CUST_041275,45,Male,Suburban,21,Two year,56.99,1234.28,53.2,48.0,2,DSL,No,Yes,Electronic check,1
CUST_035161,39,Male,Urban,16,One year,119.05,1548.54,3.0,151.0,0,DSL,Yes,No,Electronic check,1
CUST_085871,18,Female,Urban,20,Month-to-month,36.43,836.99,74.9,336.0,1,DSL,No,No,Electronic check,1
CUST_098551,47,Male,Rural,7,Month-to-month,63.23,390.28,7.2,496.0,0,No,No,No,Electronic check,1
CUST_037337,49,Male,Suburban,10,One year,64.55,543.7,63.0,345.0,1,Fiber optic,No,No,Mailed check,1
CUST_050201,26,Female,Urban,41,Month-to-month,44.92,1495.09,7.3,165.0,3,DSL,No,Yes,Mailed check,1
CUST_008192,39,Male,Suburban,21,Month-to-month,46.72,1000.14,40.1,326.0,4,DSL,No,No,Credit card,1
CUST_042907,44,Male,Urban,9,Two year,20.0,156.06,15.1,141.0,2,No,No,No,Credit card,1
CUST_037686,48,Male,Urban,3,Month-to-month,79.68,214.41,22.8,747.0,0,DSL,Yes,No,Credit card,0
CUST_015483,34,Female,Suburban,11,Month-to-month,50.58,640.43,8.5,54.0,1,Fiber optic,No,Yes,Credit card,0
CUST_023083,51,Female,Rural,52,Month-to-month,55.39,2686.67,57.3,1261.0,3,DSL,No,No,Electronic check,1
CUST_010344,47,Male,Suburban,26,One year,89.18,2713.96,50.9,335.0,2,Fiber optic,Yes,No,Mailed check,1
CUST_047923,36,Male,Urban,6,Two year,60.68,346.42,59.4,740.0,4,Fiber optic,No,Yes,Credit card,1
CUST_082186,19,Female,Urban,11,Month-to-month,72.36,765.4,112.3,48.0,1,Fiber optic,Yes,No,Credit card,1
CUST_026705,31,Female,Suburban,21,Month-to-month,94.2,2070.51,52.2,891.0,2,Fiber optic,No,No,Mailed check,1
CUST_070752,44,Male,Suburban,47,Month-to-month,20.0,1018.29,0.1,164.0,1,DSL,Yes,Yes,Electronic check,0
CUST_062186,34,Male,Urban,6,Month-to-month,54.45,293.7,13.4,4.0,3,No,No,No,Credit card,1
CUST_054730,52,Female,Urban,1,One year,29.21,30.35,46.9,230.0,0,DSL,No,No,Bank transfer,1
CUST_049660,30,Male,Urban,11,Month-to-month,82.09,851.09,121.3,558.0,0,Fiber optic,No,No,Electronic check,1
CUST_045238,39,Male,Urban,5,One year,88.86,366.15,62.1,189.0,2,DSL,Yes,No,Bank transfer,1
CUST_022597,33,Female,Suburban,72,Month-to-month,90.43,7806.18,18.6,95.0,1,DSL,No,No,Credit card,1
CUST_014765,45,Female,Urban,11,One year,89.67,870.39,56.7,1118.0,0,No,No,Yes,Electronic check,1
